date,temp_mean,temp_min,temp_max,feels_like_mean,feels_like_min,feels_like_max,humidity_mean,wind_speed_mean,wind_speed_max,rain_sum,snow_sum,weather_main,weather_description,weather_icon
2021-08-05,81.66083333333334,73.96,86.99,87.29208333333332,74.52,98.55,77.66666666666667,2.9166666666666674,11.01,0.51,0,Clouds,overcast clouds,04n
2021-08-06,80.77083333333333,72.99,90.99,85.38291666666667,74.21,103.59,76.41666666666667,2.830416666666667,NaN,0,0,Clouds,scattered clouds,04d
2021-08-07,82.77750000000002,77.05,88.52,88.06583333333333,78.55,98.1,74.04166666666667,2.6108333333333342,NaN,1.5,0,Clouds,scattered clouds,03d
2021-08-08,83.6875,79.07,89.65,90.62291666666668,79.07,102.25,76.91666666666667,3.4387499999999993,NaN,4.1000000000000005,0,Clouds,broken clouds,01n
2021-08-09,84.73458333333333,79.48,89.65,93.40958333333332,79.48,102.25,77.375,3.522499999999999,NaN,2.59,0,Clouds,scattered clouds,03d
2021-08-10,83.80166666666666,78.49,88.25,91.63333333333334,79.41,100.33,78.45833333333333,2.8025,NaN,2.9000000000000004,0,Clouds,overcast clouds,04n
2021-08-11,82.74374999999999,79.84,86.9,90.21750000000002,79.84,98.31,80.25,3.3125,NaN,11.45,0,Clouds,light rain,10d
2021-08-12,80.48125,77.68,84.13,83.73875,78.85,90.75,82.83333333333333,1.9824999999999997,NaN,9.530000000000001,0,Rain,light rain,10d
2021-08-13,80.77083333333331,77.16,85.26,84.76875,78.8,93.7,83.625,2.7637500000000004,NaN,7.210000000000001,0,Clouds,light rain,10d
2021-08-14,82.99,77.54,89.96,87.63583333333334,78.89,99.52,74.5,2.5225000000000004,NaN,0.15,0,Clouds,few clouds,02d
2021-08-15,83.39083333333333,78.76,88.12,88.94041666666668,78.76,98.2,74.75,2.53875,NaN,3.46,0,Clouds,broken clouds,02n
2021-08-16,82.995,77.77,89.71,88.80208333333333,79.14,101.88,76.29166666666667,3.526666666666667,NaN,1.1599999999999997,0,Clouds,broken clouds,04d
2021-08-17,84.17916666666666,78.89,89.65,90.58291666666666,78.89,102.25,72.5,2.9741666666666666,NaN,2.42,0,Clouds,light rain,10d
2021-08-18,84.94083333333334,80.51,90.77,94.59208333333333,86.63,103.37,78.66666666666667,3.1079166666666667,NaN,6.220000000000001,0,Clouds,broken clouds,04n
2021-08-19,84.94375000000001,80.65,88.39,95.48958333333331,87.28,100.99,79.375,3.665833333333333,NaN,8.78,0,Clouds,overcast clouds,04d
2021-08-20,85.04958333333333,79.97,91.11,92.63416666666666,79.97,99.18,73.375,2.92,NaN,2.09,0,Clouds,overcast clouds,04d
2021-08-21,84.57708333333335,78.85,91.85,90.59291666666665,78.85,102.54,71.875,3.192083333333334,NaN,0,0,Clouds,overcast clouds,04d
2021-08-22,85.68166666666666,79.45,92.57,93.01875000000001,79.45,102.25,70.25,2.9495833333333334,NaN,0,0,Clouds,broken clouds,04n
2021-08-23,86.33541666666666,80.8,93.29,94.83499999999998,86.16,103.71,69.33333333333333,3.0262499999999997,NaN,0.77,0,Clouds,few clouds,01d
2021-08-24,84.68875,79.86,92.16,93.13458333333334,79.86,104.76,77,2.779583333333333,NaN,20.62,0,Clouds,broken clouds,04d
2021-08-25,83.79625,80.58,88.36,91.83749999999999,85.5,100.36,77.45833333333333,2.0541666666666667,NaN,5.4,0,Clouds,broken clouds,04n
2021-08-26,81.21291666666667,79.29,82.63,86.59500000000001,79.29,91.89,82.41666666666667,5.043333333333335,NaN,16.17,0,Rain,light rain,10d
2021-08-27,79.36874999999999,77.5,81.1,82.13083333333331,79.18,88.12,87.45833333333333,4.982083333333333,NaN,16.66,0,Rain,light rain,10d
2021-08-28,80.61583333333333,77.27,84.63,85.33999999999999,78.78,97.03,88.54166666666667,4.222499999999999,NaN,34.73000000000001,0,Rain,light rain,10d
2021-08-29,79.62541666666668,77,84.34,83.16125000000001,78.75,96.58,88.91666666666667,10.106666666666667,NaN,126.64,0,Rain,light rain,10d
2021-08-30,80.07583333333334,77.16,84.16,83.52708333333332,79.23,90.99,85.83333333333333,5.832083333333333,50,182.36000000000004,0,Rain,light rain,10n
2021-08-31,82.15291666666667,78.03,88.68,89.2816666666667,79.18,101.28,84.58333333333333,5.420833333333334,NaN,11.459999999999999,0,Rain,light rain,10d
2021-09-01,81.30375,78.55,86.58,86.67208333333336,78.71,99.18,87.29166666666667,6.5575,NaN,6.470000000000001,0,Clouds,broken clouds,04n
2021-09-02,80.71916666666668,74.97,88.48,86.53125,76.62,101.08,86.29166666666667,5.612916666666666,NaN,2.6799999999999997,0,Clouds,sky is clear,04n
